Dayworks ,,,,,
DW,Dayworks,Total Price (EUR),,," 1,185,575.00 "
Item#,Description of work,Unit, Quantity ა , Price per unit  , Total price  
,"The rates for dayworks shall be rates for provision, transport to site, tools, etc. including social costs for labour and contractors' overhead and profit and allowable profit on materials deliverd to site, all as described in the preamble",,,,
,Labour,,,,
1,Unskilled labour,h," 1,000.00 ", 4.00 ," 4,000.00 "
2,Skilled labour,h, 700.00 , 6.00 ," 4,200.00 "
3,Foreman,h, 500.00 , 15.00 ," 7,500.00 "
,,Total Price Labour,,," 15,700.00 "
,Materials,,,,
4,Sand,m³, 200.00 , 25.00 ," 5,000.00 "
5,Sulphate resisting Portland cement,t, 100.00 , 100.00 ," 10,000.00 "
6,"Concrete, class C8/10",m³, 150.00 , 90.00 ," 13,500.00 "
7,"Concrete, class C10/15",m³, 100.00 , 100.00 ," 10,000.00 "
8,"Concrete, class C25/30",m³, 100.00 , 110.00 ," 11,000.00 "
9,"Concrete, class C30/37",m³, 100.00 , 120.00 ," 12,000.00 "
10,"Concrete, class C35/45",m³, 100.00 , 130.00 ," 13,000.00 "
11,Steel reinforcement,t, 20.00 ," 1,000.00 "," 20,000.00 "
12,Crushed sand,m³, 100.00 , 20.00 ," 2,000.00 "
13,Crushed course aggregate,m³, 500.00 , 15.00 ," 7,500.00 "
14,Crushed fine aggregate,m³, 300.00 , 18.00 ," 5,400.00 "
15,Prime coat RC 30,m², 30.00 , 15.00 , 450.00 
16,Asphalt road base,t, 180.00 , 80.00 ," 14,400.00 "
17,Bituminous binder course,t, 180.00 , 90.00 ," 16,200.00 "
18,Bituminous surface (wearing) course,t, 180.00 , 100.00 ," 18,000.00 "
19,Road marking paint,kg, 30.00 , 10.00 , 300.00 
,,Total Price Material,,," 158,750.00 "
,Allowable % Mark-up for materials delivered to site under CIF INCO term,,,,10.00%
,Total Price of Materials including total % mark-up,,,," 174,625.00 "
,Equipment,,,,
,"These rates shall include for all operation and maintenance costs, fuel, oil, operators. Only the time employed will be paid for.",,,,
20,Wheel loader,h, 200.00 , 50.00 ," 10,000.00 "
21,Bulldozer,h, 200.00 , 100.00 ," 20,000.00 "
22,Excavator,h," 1,000.00 ", 100.00 ," 100,000.00 "
23,Dumper truck 4 m³,h," 1,000.00 ", 35.00 ," 35,000.00 "
24,Dumper truck  8 m³,h, 150.00 , 45.00 ," 6,750.00 "
25,Wheel tractor 40 to 50 hp,h, 150.00 , 40.00 ," 6,000.00 "
26,Wheel tractor over 50 hp,h, 150.00 , 50.00 ," 7,500.00 "
27,Water tanker over 6 m³,h, 150.00 , 50.00 ," 7,500.00 "
28,"Air compressor incl. hoses, hammers, chisels (7 m³/min)",h," 2,000.00 ", 20.00 ," 40,000.00 "
29,Jack hammer,h," 2,000.00 ", 150.00 ," 300,000.00 "
30,Concrete mixer,h," 1,500.00 ", 50.00 ," 75,000.00 "
31,Concrete vibrating device,h," 1,500.00 ", 5.00 ," 7,500.00 "
32,Dumper,h," 1,500.00 ", 50.00 ," 75,000.00 "
33,Pick up,h," 1,000.00 ", 10.00 ," 10,000.00 "
34,Crane lifting capacity 10 t,h, 400.00 , 100.00 ," 40,000.00 "
35,Crane lifting capacity over 10 t,h, 400.00 , 150.00 ," 60,000.00 "
36,Plate vibrator,h," 1,000.00 ", 10.00 ," 10,000.00 "
37,Rammer,h," 1,000.00 ", 50.00 ," 50,000.00 "
38,"Drainage Pump, 10 l/s",h," 1,000.00 ", 5.00 ," 5,000.00 "
39,"Sewage Pump, 10 l/s",h," 1,000.00 ", 10.00 ," 10,000.00 "
,,Total Price Equipment,,," 875,250.00 "
,Others,,,,
40,"Vehicle-Mounted powered core hole drilling equipmen, diameter up to 150 mm, wall thickeness up to 40 cm",h, 200.00 , 25.00 ," 5,000.00 "
41,Hand dug trial holes for pipe bedding verification,no., 50.00 , 500.00 ," 25,000.00 "
42,"OSEC system for 100 m3 reservoirs, including building construction, commissioning and testing and all associated cost whatsoever.",LS, 1.00 ," 40,000.00 "," 40,000.00 "
43,"OSEC system for 200 m3 reservoirs, including building construction, commissioning and testing and all associated cost whatsoever.",LS, 1.00 ," 50,000.00 "," 50,000.00 "
44,Residual Chlorine Analyzer,no., 1.00 ,, -   
,,Total Price Others,,," 120,000.00 "
