"Schedule 1: General, Preliminary & ESHS items",,,,,,,,,,
General & Preliminary Items,,,,,,,,,,
Item# ,Description,,Unit,Amount ,Notes,,,,,
P.1,Submission and Approval of Quality Management Plan,,LS," 7,000.00 ",,,,,,
P.2,Provision of evidence of Insurances,,LS," 5,000.00 ",,,,,,
P.3,Provision and approval of Insurances policies ,,LS," 20,000.00 ",,,,,,
P.4,Contract's mobilization,,LS," 100,000.00 ",,,,,,
P.5,Operation and maintenance of the Site installation during active construction,,LS," 50,000.00 ",,,,,,
P.6,Security and maintenance of the Site installation during winter break periods,,LS," 25,000.00 ",,,,,,
P.7,"Preparation and provision of monthly progress reports, attendance monthly progress presentations and support in minute taking in monthly progress meetings, including contribution to the minutes",,LS," 36,000.00 ",,,,,,
P.8,Provision of as-built drawings to be submitted and approved by the Engineer as a condition of taking-over of the works,,LS," 36,000.00 ",,,,,,
P.9,"Planning, implementing and documenting an extended operational period to include all village implemented Works",,LS," 24,000.00 ",,,,,,
P.10,"Demobilisation of all site installations, removal of Contractor's equipment and non-project materials and re-instatement of original Site conditions",,LS," 50,000.00 ",,,,,,
Total Price General & Preliminary Items,,,," 353,000.00 ",,,,,,
,,,,,,,,,,
ESHS Items,,,,,,,,,,
Item# ,Description,ESHS Specifications Clause N°,Unit,Amount € (EUR),Notes,,,,,
ESHS 1,Resources allocated to ESHS management,Clause 4,LS," 36,000.00 ",,,,,,
ESHS 2,"Drafting and updating the ESHS documentation, reporting, inspections","Clauses 1, 2, 3, 5, 6, 7, 9",LS," 24,000.00 ",[Cost ESHS 1 should exclude all or part of the costs of those tasks],,,,,
ESHS 3,Implementation of the Health and Safety Plan:,"Clauses 1, 9, 21 to 25, 27 to 35, 37, 38",LS," 24,000.00 ",[Cost ESHS 1 should exclude all or part of the costs of those tasks],,,,,
,"Meetings, health care center, medical check‑ups, emergencies and evacuations, safety protective equipment, hygiene",,,,,,,,,
ESHS 4,"Accommodation, drinking water, meals and transportation of staff(*)","Clauses 36, 40, 41",,,[The cost for “site mobilization” should exclude all or part of the costs of those tasks],,,,,
,"(*): The Bidder shall detail the financial conditions of the supply of accommodation, meals and transport to its staff:",,,,,,,,,
,-        Accommodation,,LS," 54,000.00 ",,,,,,
,-        Meals,,LS," 36,000.00 ",,,,,,
,-        Transport,,LS," 54,000.00 ",,,,,,
ESHS 5,Training and local recruitment management costs,"Clauses 8, 39",LS," 18,000.00 ",[Cost ESHS 1 should exclude all or part of the costs associated to those tasks],,,,,
ESHS 6,"Protection of adjacent areas, biodiversity, prevention of erosion and wastewater management","Clauses 10, 11, 12, 17, 18",LS," 15,000.00 ",,,,,,
ESHS 7,"Traffic, noise and atmospheric emissions management, land take","Clauses 13, 14, 42, 43, 44",LS," 13,500.00 ",,,,,,
ESHS 8,Waste and hazardous products management,"Clauses 15, 26",LS," 10,000.00 ",,,,,,
ESHS 9,Vegetation clearing and site rehabilitation,"Clauses 16, 19, 20",LS," 10,000.00 ",[The cost for “site mobilization” should exclude all or part of the costs associated to those tasks],,,,,
Total Price ESHS items / ESHS ს,,,," 294,500.00 ",,,,,,
ESHS costs are deemed to cover operations on all Sites (as defined in Clause 1.3 of ESHS Specifications) Interim payment certificates shall include the portion of each ESHS cost amounting to the percentage of the actual progress achieved in executing the ESHS measures in compliance with the ESHS Specifications and approved by the Engineer.,,,,,,,,,,
