Bill of Quantity for Dioknisi Infiltration Gallery Stream Intake,,,,,,,,,,,,,
, Total Price (EUR) forward to WS bills ,,,," 29,997.80 ",,,,,,,,
Item# /???????#,Description of work,Unit , Quantity  , Price per unit , Total price ,,,,,,,,
,"Construction of infiltration gallery, gabion walls, reinforced concrete intake, including all built-in piping in the walls and accessories. The pipes and valves pertaining to the TM are included under the specific village bill. All items related Works shall be included under the unit prices. ",,,,,,,,,,,,
1,"Construction works, including formwork, all necessary materials and equipment",,,,,,,,,,,,
1.1,"Excavation in any type of soil by machinary equipment or by hand, until excavation level, works include, dewotering works compaction, of excavation level, desposal of excavated material on dumpsite in radius of 9 km.",m3, 23.00 ,5.00, 115.00 ,,,,,,,,
1.2,Backfilling works with selected backfilling material and compacted in layers,m, 10.00 ,5.00, 50.00 ,,,,,,,,
1.3,Fine gravel as filter material around perforated pipes (7-15 mm),m3, 9.80 ,20, 196.00 ,,,,,,,,
1.4,Coarse gravel to adjust the stream bed level (10-40 mm),m3, 20.79 ,20, 415.80 ,,,,,,,,
1.5,Geotextile mesh 5mm,m2, 16.00 ,15, 240.00 ,,,,,,,,
1.6,Gabion wall,m3, 59.40 ,100," 5,940.00 ",,,,,,,,
2,Concrete structure stone base,,,,,,,,,,,,
2.1,Crushed stones with sand 0/40 mm to the excavation level. Compaction to at least > 95% MPrD,m3, 7.00 ,20, 140.00 ,,,,,,,,
3,"Concreting works, including formwork, all necessary materials and equipment",,,,,,,,,,,,
3.1,Reinforcement,kg," 1,313.00 ",1," 1,313.00 ",,,,,,,,
3.2,Blinding concrete class C12/15,m3, 0.50 ,150.00, 75.00 ,,,,,,,,
3.3,"Concrete class C30/37, W-8 waterproofing",m3, 6.92 ,400," 2,768.00 ",,,,,,,,
3.4,Joint water stops,m, 16.00 ,15, 240.00 ,,,,,,,,
4,Supply and installation of metal elements,,,,,,,,,,,,
4.1,Hot dip galvanized steel cat ladder for external wall side,no., 1.00 ,500, 500.00 ,,,,,,,,
4.2,Stainless steel ladder for internal wall side,no., 1.00 ,3000," 3,000.00 ",,,,,,,,
4.3,Hot dip galvanized steel hatch and frame on roof slab,no., 1.00 ,1500," 1,500.00 ",,,,,,,,
5,Supply and installation of pipes and mechanical equipment,,,,,,,,,,,,
5.1,HDPE Perforated Pipe DN200 / PN16,m, 11.00 ,35, 385.00 ,,,,,,,,
5.2,HDPE Pipe DN200 / PN16,m, 10.00 ,25, 250.00 ,,,,,,,,
5.3,Galvanized sluice gate St.37 / 6mm (75cm x 50cm) with galvanized steel frame (185cm x 50cm) enhanced with hand wheel operating control and galvanized channel St.37 / 10 mm with cross section of 75cm x 50 cm and length of 95 cm anchored with steel belts to concrete slab,no., 1.00 ,10000," 10,000.00 ",,,,,,,,
5.4,Gate valve DN200 / PN16,no., 1.00 ,950.00, 950.00 ,,,,,,,,
5.5,Gate valve DN63 / PN16,no., 1.00 ,450.00, 450.00 ,,,,,,,,
5.6,Bulk water meter DN63 / PN16,no., 1.00 ,150.00, 150.00 ,,,,,,,,
5.7,HDPE overflow pipe DN300 / PN16,m, 12.00 ,80, 960.00 ,,,,,,,,
5.8,HDPE drain pipe DN200 / PN10,m, 8.00 ,45, 360.00 ,,,,,,,,
,,,,,,,,,,,,,
