,,Bill of Quantity LOT 2A Summary Page,,,,,
,,,,,,,
,,Item#,Description of the work ,Total price (EUR),,,
,,Water Supply Systems,,,,,
,,WS01,Lower Vashlovani,"1,139,540.86",,,
,,WS02,Okruashvilebi & Duadzeebi ,"1,099,146.00",,,
,,WS03,Tkhiladziri & Dekanashvilebi,"447,456.86",,,
,,WS04,Upper Dekanashvilebi,"102,882.00",,,
,,WS05,Dzirkvadzeebi,"870,614.96",,,
,,WS06,Ganakhleba,"294,347.00",,,
,,WS07 ,Gurdzauli,"462,607.90",,,
,,WS08,Dzmagula ,"455,284.90",,,
,,WS09,Dioknisi,"361,045.35",,,
,,Sanitation Systems,,,,,
,,WW01,Lower Vashlovani,"993,412.30",,,
,,WW02,Okruashvilebi & Duadzeebi,"838,035.50",,,
,,WW03,Dekanashvilebi,"200,641.44",,,
,,WW04,Dzirkvadzeebi,"417,873.94",,,
,,WW05,Upper Dekanashvilebi,"146,870.72",,,
,,WW06,Ganakhleba,"336,462.88",,,
,,WW07,Tkhiladziri,"241,536.44",,,
,,WW08,Dioknisi,"376,304.32",,,
,,WW09 ,Dzmagula,"196,787.88",,,
,,WW10 ,Gurdzauli,"88,960.00",,,
,,Spare Parts,,,,,
,,WSSP,Water Supply Spare Parts,"109,482.40",,,
,,WWSP,Sanitation Surplus Equipment,"37,700.00",,,
j,,,,,,,
,,,Total BoQ (Excluding Optional Villages),"9,216,993.65",A,,
,,,,,,,
,,Schedule of Lump Sums ,,,,,
,,"Gen, Prelim & ESHS","Schedule 1: General, Preliminary & ESHS items for all Works of LOT 2A","647,500.00",B,,
,,,,,,,
,,Schedule of Provisional Sums,,,,,
,,PS,Schedule 2: Provisional Sums for all Works of LOT 2A ,"260,000.00",C,,
,,,,,,,
,,Schedule of Dayworks ,,,,,
,,DW,Schedule 3: Dayworks for all Works of LOT 2A ,"1,185,575.00",D,,
,,,,,,,
,,,Total BoQ and Lump Sums," 9,864,493.65 ",E = A + B,,
,,,Total Passing Forward to Tender Form (includes Provisional Sums) ," 10,124,493.65 ",F = E + C,,
,,,Total for bid comparison (includes Dayworks but excludes Provisional Sums) ," 11,050,068.65 ",G = E + D,,
,,,Import duties,,H,,
,,,"Taxes, fees, levies, other charges applicable in Employer´s country",,I,,
,,,"Total amount LOT 2A, including duties, taxes, etc. "," 10,124,493.65 ",J = F + H + I,,
,,,,,,,
,,Signed by Empowered Representative ___________  [name                                             ]     Date__________,,,,,
