Bill of Quantity for Water Supply System Lower Vashlovani - LOT 2A ,,,,,,
WS01,,,,," 1,139,540.86 ",
Item#,Description of work,Unit, Quantity , Price per unit , Total price  ,
,"All related Works shall be included under the unit prices. All rates for water supply pipeworks and appurtenances for the above mentioned village shall be indicated in this sheet. Rates for civil structures and ancillary works to include but not be limited to intakes, reservoirs, etc. shall be priced in the adjoining worksheets and are linked to the items in the corresponding row of this worksheet. ",,,,,
1,"Supply, delivery and installation of water pipes, including all fittings and joints necessary for complete installation, pipe trench excavation, pipe bedding / sorrounding, pipe laying / installation, testing, desinfection and backfilling / compaction: machinery or hand trench excavation in any type of soil up to 1,5m depth and dispose of excess material in a dumpsite up to 9 km distance. Including shoring; supply, place and compact suitable material for pipe bedding, including trimming of excavated trench; laying and installation of pipes, including welding, fittings, reducers, tees and adapters outside valve chambers; place and compact pipe sorrounding, including compaction to 95% MDD; installation and pressure pipe testing; disinfection of pipes and valves; trench backfilling with selected backfill material and compacting, including supply and delivery to site of imported suitable backfill material",,,,,
1.1,"High Density Polyethylene (HDPE) pipes, material grade HDPE100, nominal pressure rating 10 bar (PN10), with SDR17",,,,,
1.1.1,HDPE Pipe DN25 for service connection,m, -   , 3.00 , -   ,
1.1.2,HDPE Pipe DN32,m, -   , 5.00 , -   ,
1.1.3,HDPE Pipe DN50,m, 330.00 ,8.00," 2,640.00 ",
1.1.4,HDPE Pipe DN63,m, -   , 10.00 , -   ,
1.1.5,HDPE Pipe DN75,m, -   , 12.00 , -   ,
1.1.6,HDPE Pipe DN110,m, 150.00 ,20.00," 3,000.00 ",
1.1.7,HDPE Pipe DN125,m, -   , 25.00 , -   ,
1.2,"High Density Polyethylene (HDPE) pipes, material grade HDPE100, nominal pressure rating 16 bar (PN16), with SDR11",,,,,
1.2.1,HDPE Pipe DN25 for service connection,m," 4,411.00 ",5.00," 22,055.00 ",
1.2.2,HDPE Pipe DN32,m," 3,429.00 ",7.00," 24,003.00 ",
1.2.3,HDPE Pipe DN50,m," 12,935.00 ",10.00," 129,350.00 ",
1.2.4,HDPE Pipe DN63,m, 698.00 ,12.00," 8,376.00 ",
1.2.5,HDPE Pipe DN75,m," 3,221.00 ",15.00," 48,315.00 ",
1.2.6,HDPE Pipe DN90,m," 3,191.00 ",20.00," 63,820.00 ",
1.2.7,HDPE Pipe DN110,m, 913.00 ,25.00," 22,825.00 ",
2,"Supply, deliver and installation of water appurtenances",,,,,
2.1,"Underground cast iron water network gate valves within Valve Chambers (Type I, II, III or IV), including all necessary fittings, such as welded flanges, flange adapters, spindle extension, and road cap, with installation pressure rating PN16",,,,,
2.1.1,Gate valve for main pipeline size DN32,no., -   , 250.00 , -   ,
2.1.2,Gate valve for main pipeline size DN50,no., 28.00 ,350.00," 9,800.00 ",
2.1.3,Gate valve for main pipeline size DN63/DN65,no., 2.00 ,450.00, 900.00 ,
2.1.4,Gate valve for main pipeline size DN75,no., 5.00 ,550.00," 2,750.00 ",
2.1.5,Gate valve for main pipeline size DN90,no., 4.00 ,650.00," 2,600.00 ",
2.1.6,Gate valve for main pipeline size DN110,no., -   ,750.00, -   ,
2.2,"Stand type fire hydrant, including ""Tee"" from mainline and all necessary fittings, such as welded flanges, flange adapters, spindle extension, and road cap, with installation pressure rating PN16",,,,,
2.2.1,Hydrant for main pipeline size DN80,no., 5.00 ,"1,000.00"," 5,000.00 ",
2.3,"Set of pressure reducing valves (PRV), including one working and one standby consiting all necessary fittings, such as welded flanges, gate valves, flange adapters, strainers, pressure gages and road cap, with installation pressure rating PN16",,,,,
2.3.1,PRV set for main pipeline size DN50,no., 7.00 ,"1,500.00"," 10,500.00 ",
2.4,"Air valves, including all necessary fittings, such as welded flanges, flange adapters, spindle extension, and road cap, with installation pressure rating PN16",,,,,
2.4.1,Air valves for main pipeline size DN50,no., 4.00 ,550.00," 2,200.00 ",
2.5,"Washout valves, including all necessary fittings, such as welded flanges, flange adapters, spindle extension, and road cap, with installation pressure rating PN16",,,,,
2.5.1,Washout valves for main pipeline size DN50,no., 6.00 ,550.00," 3,300.00 ",
2.6,House / service connections (all fittings to be rated to PN16),,,,,
2.6.1,"Water meters Type II (underground in the house front yard), including house water meter, plastic water meter box 300x500x200mm and all necessary fittings, such as ball valves and non-return valve with thermal isolation.",no., 299.00 ,350.00," 104,650.00 ",
2.6.2,"PRV equipment for Water metters Type III. Item includes valve DN20, filter DN20, pressure reducer DN20 PN16, thermal isolation and box. ",no., 97.00 ,375.00," 36,375.00 ",
2.6.3,House / building service connection - connecting the water meter to the existing plumbing and pipework: Include all parts and labour required to make the connection from the meter box to the existing house service pipe and capping off of existing pipe (including supply of necessary fittings). Supply and installation of meter chamber measured above. Service tubing between meter and existing connection measured in item 1.1.1,no., 299.00 ,100," 29,900.00 ",
3,"Cutting, breaking and reinstatement",,,,,
3.1,Cutting and take out of asphalt surface (per meter cut on each side of the trench),m," 1,357.00 ",5.00," 6,785.00 ",
