Bill of Quantity for Water Supply Spare Parts - LOT 2A,,,,,,10%
WSSP,,,,," 109,482.40 ",
Item# ,Description of work,Unit, Quantity  , Price per unit , Total price  ,
,The pipes and appurtenances spare parts to be provided to the Employer are included in this bill. The price shall include the delivery to the Employer warehouse or where indicated by the Engineer. A 10% of the total amount of material to be installed are considered for spare parts,,,,,
1,"Supply and deliver of water pipes, including all fittings and joints necessary for complete installation",,,,,
1.1,"High Density Polyethylene (HDPE) pipes, material grade HDPE100, nominal pressure rating 10 bar (PN10), with SDR17",,,,,
1.1.1,HDPE Pipe DN25 for service connection,m, -   , 0.75 , -   ,
1.1.2,HDPE Pipe DN32,m, -   , 1.50 , -   ,
1.1.3,HDPE Pipe DN50,m, 165.00 , 2.00 , 330.00 ,
1.1.4,HDPE Pipe DN63,m, -   , 3.00 , -   ,
1.1.5,HDPE Pipe DN75,m, -   , 3.50 , -   ,
1.1.6,HDPE Pipe DN110,m, 105.00 , 7.50 , 787.50 ,
1.1.7,HDPE Pipe DN125,m, -   , 10.00 , -   ,
1.2,"High Density Polyethylene (HDPE) pipes, material grade HDPE100, nominal pressure rating 16 bar (PN16), with SDR11",,,,,
1.2.1,HDPE Pipe DN25 for service connection,m," 1,231.00 ", 1.00 ," 1,231.00 ",
1.2.2,HDPE Pipe DN32,m," 1,394.00 ", 1.85 ," 2,578.90 ",
1.2.3,HDPE Pipe DN50,m," 6,586.00 ", 2.50 ," 16,465.00 ",
1.2.4,HDPE Pipe DN63,m, 825.00 , 3.60 ," 2,970.00 ",
1.2.5,HDPE Pipe DN75,m, 766.00 , 5.00 ," 3,830.00 ",
1.2.6,HDPE Pipe DN90,m, 493.00 , 7.00 ," 3,451.00 ",
1.2.7,HDPE Pipe DN110,m, 155.00 , 10.00 ," 1,550.00 ",
1.3,"High Density Polyethylene (HDPE) pipes, material grade HDPE100, nominal pressure rating 20 bar (PN20), with SDR9",,,,,
1.3.1,HDPE Pipe DN50,m, 91.00 , 3.00 , 273.00 ,
1.3.2,HDPE Pipe DN63,m, -   , 4.00 , -   ,
1.3.3,HDPE Pipe DN75,m, 96.00 , 6.00 , 576.00 ,
1.3.4,HDPE Pipe DN110,m, -   , 12.50 , -   ,
1.3.5,HDPE Pipe DN125,m, -   , 14.00 , -   ,
1.4,"High Density Polyethylene (HDPE) pipes, material grade HDPE100, nominal pressure rating 25 bar (PN25), with SDR7,4",,,,,
1.4.1,HDPE Pipe DN50,m, -   ,, -   ,
1.4.2,HDPE Pipe DN63,m, -   ,, -   ,
1.4.3,HDPE Pipe DN75,m, -   ,, -   ,
1.4.4,HDPE Pipe DN110,m, -   ,, -   ,
1.4.5,HDPE Pipe DN125,m, -   ,, -   ,
1.5,"Steel pipe grade St.42 for protection of exposed pipeline, road / river undercrossing sections and transmission pipelines",,,,,
1.5.1,Steel pipe DN50 / 4mm,m, 454.00 , 25.00 ," 11,350.00 ",
1.5.2,Steel pipe DN65 / 8mm,m, -   , 35.00 , -   ,
1.5.3,Steel pipe sleeve DN100 / 4mm,m, -   , 50.00 , -   ,
2,Supply and deliver of water appurtenances,,,,,
