Bill of Quantity for Sanitation System Lower Vashlovani - LOT 2A ,,,,,,
WW01,,,,," 993,412.30 ",
Item#,Description of work,Unit, Quantity  , Price per unit  , Total price ,
,All items related Works shall be included under the unit prices. All rates for saniation pipeworks and appurtenances for the above mentioned village shall be indicated in this sheet. Rates for civil structures and ancillary works to include but not be limited to septic tanks shall be priced in the adjoining worksheets and are linked to the descriptions in the corresponding row of this worksheet. ,,,,,
1,"Supply, deliver and installation of sewer pipes, including all fittings and joints necessary for complete installation, pipe trench excavation, pipe bedding / surrounding, pipe laying / installation, testing, disinfection and backfilling / compaction: machinery or hand trench excavation in any type of soil up to 1,5m depth and dispose of excess material in a dumpsite up to 9 km distance, including shoring; supply, place and compact suitable material for pipe bedding, including trimming of excavated trench; laying and installation of pipes, fittings, tees and adapters outside inspection chambers; installation pipe testing; place and compact pipe sorrounding, including compaction to 95% MDD; trench backfilling with selected backfill material and compacting, including supply and delivery to site of additional suitable backfill materials",,,,,
1.1,Polypropylene (PP) pipes SN8,,,,,
1.1.1,PP pipes DN110,m," 7,133.48 ",10.00," 71,334.80 ",
1.1.2,PP pipes DN150,m, 646.00 ,15.00," 9,690.00 ",
1.2,Polypropylene (PP) perforated pipes SN8,,,,,
1.2.1,PP 2mm perforated pipes DN110,m, 406.00 ,20.00," 8,120.00 ",
1.2.2,PP 3mm perforated pipes DN150,m, 141.00 ,25.00," 3,525.00 ",
2,"Supply, deliver and installation of sewer appurtenances",,,,,
2.1,"PP Inspection Chamber DN400 inlet/outlet DN110 / DN150 for house connections and along the sewer pipes, including chamber rider pipe DN400 of 1,5 m height; telescopic cover, DN315, B125 with ventilation holes on top (inside house yard, out of vehicle traffic); additional earthworks than those included in the pipe trench (excavation, base preparation and backfill); water tightness test",LS, 500.00 ,350.00," 175,000.00 ",
2.2,"PP Inspection Chamber DN400 inlet/outlet DN110 / DN150 for house connections and along the sewer pipes, including chamber rider pipe DN400 of 1,5 m height; telescopic cover, DN315, D400 with ventilation holes on top (for traffic load); additional earthworks than those included in the pipe trench (excavation, base preparation and backfill); water tightness test",LS, 289.00 ,450.00," 130,050.00 ",
2.3,"House / building service connection - connecting  the existing plumbing and pipework to the house connection inspection chamber, inlcuding all parts and labour required to make the connection and capping off of existing pipe (including supply of necessary fittings). Service tubing between  inspection chamber and existing connection measured in item 1.1.1",LS, 289.00 ,200," 57,800.00 ",
3,"Cutting, breaking and reinstatement",,,,,
3.1,"Breaking of asphalt and concrete surface, excavate and disposal off site",m2, 13.70 ,5.00, 68.50 ,
3.2,Reinstatement of concrete surface,m2, 13.70 ,20.00, 274.00 ,
4,"Construction of concrete manholes, including concrete, reinforcement, cover, earthworks and surface reinstatement",,,,,
4.1,"Cast-in-place or supply and installation of prefabricated reinforced concrete manholes, minimum concrete class C32/40, inner diameter 1000mm, including excavation; bedding with lean concrete C8/10; manhole cover resistent to traffic load (cover class D400); and manhole cover slab frames, dirt pan, cone, seating rings, shaft units with sealing, base unit, step irons and all auxilliary works. Manhole channel of concrete C20/25, surface protection with epoxy mortar, inlet and outlet DN110-DN150, with elastomer seal for flexible pipe connection, including potential extra inlets DN110-DN150 with different angles depth (from ground level to invert level) up to 2,00m",LS, -   ,, -   ,
5,Supply and deliver of plastic septic tanks,,,,,
5.1,Plastic septic tank type 5PAX and 10PAX (same size),no., 243.00 ,1500.00," 364,500.00 ",
6,"Installation of plastic septic tanks, including excavation and backfilling; construction of base structure; internal pipe instalation; and instalation and drop testing",,,,,
6.1,Plastic septic tank type 5PAX with PP 2mm perforated pipe DN110,LS, 206.00 ,500.00," 103,000.00 ",
6.2,Plastic septic tank type 10PAX with PP 3mm perforated pipe DN150,LS, 37.00 ,600.00," 22,200.00 ",
7,Construction of reinforced concrete septic tanks,,,,,
7.1,Construction works of a 20PAX septic tank. See BoQ breakdown in corresponding sheet,LS, 6.00 ,, -   ,
7.2,Construction works of a 30PAX septic tank. See BoQ breakdown in corresponding sheet,LS, -   ,, -   ,
7.3,Construction works of a 100PAX septic tank. See BoQ breakdown in corresponding sheet,LS, 1.00 ,, -   ,
8,Miscellaneous,,,,,
8.1,Rehabilitation of toilets for households to be indicated by the Engineer,no., 87.00 ,550," 47,850.00 ",
,,,,,,
,,,,,,
,,,,,,
, ,,,,,
