Bill of Quantity for Sanitation Surplus Equipment - LOT 2A,,,,,,,,,
WWSP,,,,," 37,700.00 ",,,,
Item#,Description of work,Unit, Quantity  , Price per unit , Total price  ,,,,
1,"Supply and deliver of sewer pipes, including all fittings and joints necessary for complete installation",,,,,,,,
1.1,Polypropylene (PP) pipes SN8,,,,,,,,
1.1.1,PP pipes DN110,m, 500.00 , 8.00 ," 4,000.00 ",,,,
1.1.2,PP pipes DN150,m,,, -   ,,,,
1.2,Polypropylene (PP) perforated pipes SN8,,,,,,,,
1.2.1,PP 2mm perforated pipes DN110,m, 20.00 , 10.00 , 200.00 ,,,,
1.2.2,PP 3mm perforated pipes DN150,m,,, -   ,,,,
2,"Supply, deliver and installation of sewer appurtenances",,,,,,,,
2.1,"PP Inspection Chamber DN400 inlet/outlet DN110 / DN150 for house connections and along the sewer pipes, including chamber rider pipe DN400 of 1.5m height; telescopic cover, DN315, B125 with ventilation holes on top (inside house yard, out of vehicle traffic); additional earthworks than those included in the pipe trench (excavation, base preparation and backfill); installation testing",LS, 10.00 , 300.00 ," 3,000.00 ",,,,
2.2,"PP Inspection Chamber DN400 inlet/outlet DN110 / DN150 for house connections and along the sewer pipes, including chamber rider pipe DN400 of 1,5 m height; telescopic cover, DN315, D400 with ventilation holes on top (for traffic load); additional earthworks than those included in the pipe trench (excavation, base preparation and backfill); water tightness test",LS, 10.00 , 350.00 ," 3,500.00 ",,,,
3,Supply and deliver of plastic septic tanks,,,,,,,,
3.1,Plastic septic tank type 5PAX and 10PAX (same size),no., 2.00 ," 1,000.00 "," 2,000.00 ",,,,
3.2,Provision of sludge level monitoring unit,no., 10.00 ," 2,500.00 "," 25,000.00 ",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
, ,,,,,,,,
